page_number,x0,y0,x1,y1,text,block_no,line_no,word_no
85,337,319,357,326,Empresa,52,0,1
85,359,319,391,326,transportadora,52,0,2
87,54,352,93,362,4013100000,11,0,0
87,44,342,51,349,59.,52,0,0
87,53,342,77,349,Subpartida,52,0,1
87,78,342,103,349,arancelaria,52,0,2
88,54,352,93,362,4016992900,11,0,0
88,44,342,51,349,59.,52,0,0
88,53,342,77,349,Subpartida,52,0,1
88,78,342,103,349,arancelaria,52,0,2
89,54,352,93,362,4016992900,11,0,0
89,44,342,51,349,59.,52,0,0
89,53,342,77,349,Subpartida,52,0,1
89,78,342,103,349,arancelaria,52,0,2
90,54,352,93,362,4011101000,11,0,0
90,44,342,51,349,59.,52,0,0
90,53,342,77,349,Subpartida,52,0,1
90,78,342,103,349,arancelaria,52,0,2
91,54,352,93,362,7318159000,11,0,0
91,329,319,336,326,57.,52,0,0
91,337,319,357,326,Empresa,52,0,1
91,359,319,391,326,transportadora,52,0,2
93,54,352,93,362,4009320000,11,0,0
93,44,342,51,349,59.,52,0,0
93,53,342,77,349,Subpartida,52,0,1
93,78,342,103,349,arancelaria,52,0,2
94,54,352,93,362,7318159000,11,0,0
94,44,342,51,349,59.,52,0,0
94,53,342,77,349,Subpartida,52,0,1
94,78,342,103,349,arancelaria,52,0,2
96,54,352,93,362,7318159000,11,0,0
96,329,319,336,326,57.,52,0,0
96,337,319,357,326,Empresa,52,0,1
96,359,319,391,326,transportadora,52,0,2
98,54,352,93,362,7318159000,11,0,0
98,329,319,336,326,57.,52,0,0
98,337,319,357,326,Empresa,52,0,1
98,359,319,391,326,transportadora,52,0,2
100,54,352,93,362,8708299000,11,0,0
100,44,342,51,349,59.,52,0,0
100,53,342,77,349,Subpartida,52,0,1
100,78,342,103,349,arancelaria,52,0,2
101,54,352,93,362,8708299000,11,0,0
101,44,342,51,349,59.,52,0,0
101,53,342,77,349,Subpartida,52,0,1
101,78,342,103,349,arancelaria,52,0,2
102,54,352,93,362,8708299000,11,0,0
102,44,342,51,349,59.,52,0,0
102,53,342,77,349,Subpartida,52,0,1
102,78,342,103,349,arancelaria,52,0,2
103,54,352,93,362,8708299000,11,0,0
103,329,319,336,326,57.,52,0,0
103,337,319,357,326,Empresa,52,0,1
103,359,319,391,326,transportadora,52,0,2
104,54,352,93,362,8708302900,11,0,0
104,329,319,336,326,57.,52,0,0
104,337,319,357,326,Empresa,52,0,1
104,359,319,391,326,transportadora,52,0,2
105,54,352,93,362,8708302900,11,0,0
105,44,342,51,349,59.,52,0,0
105,53,342,77,349,Subpartida,52,0,1
105,78,342,103,349,arancelaria,52,0,2
106,54,352,93,362,8708302900,11,0,0
106,44,342,51,349,59.,52,0,0
106,53,342,77,349,Subpartida,52,0,1
106,78,342,103,349,arancelaria,52,0,2
107,54,352,93,362,8708302100,11,0,0
107,44,342,51,349,59.,52,0,0
107,53,342,77,349,Subpartida,52,0,1
107,78,342,103,349,arancelaria,52,0,2
109,54,352,93,362,8708302900,11,0,0
109,44,342,51,349,59.,52,0,0
109,53,342,77,349,Subpartida,52,0,1
109,78,342,103,349,arancelaria,52,0,2
110,54,352,93,362,8708302500,11,0,0
110,44,342,51,349,59.,52,0,0
110,53,342,77,349,Subpartida,52,0,1
110,78,342,103,349,arancelaria,52,0,2
112,54,352,93,362,8708302900,11,0,0
112,329,319,336,326,57.,52,0,0
112,337,319,357,326,Empresa,52,0,1
112,359,319,391,326,transportadora,52,0,2
113,54,352,93,362,8708302900,11,0,0
113,44,342,51,349,59.,52,0,0
113,53,342,77,349,Subpartida,52,0,1
113,78,342,103,349,arancelaria,52,0,2
114,54,352,93,362,8708302900,11,0,0
114,329,319,336,326,57.,52,0,0
114,337,319,357,326,Empresa,52,0,1
114,359,319,391,326,transportadora,52,0,2
115,54,352,93,362,8708302900,11,0,0
115,44,342,51,349,59.,52,0,0
115,53,342,77,349,Subpartida,52,0,1
115,78,342,103,349,arancelaria,52,0,2
116,54,352,93,362,8708302900,11,0,0
116,44,342,51,349,59.,52,0,0
116,53,342,77,349,Subpartida,52,0,1
116,78,342,103,349,arancelaria,52,0,2
117,54,352,93,362,8708302900,11,0,0
117,44,342,51,349,59.,52,0,0
117,53,342,77,349,Subpartida,52,0,1
117,78,342,103,349,arancelaria,52,0,2
118,54,352,93,362,8708302900,11,0,0
118,44,342,51,349,59.,52,0,0
118,53,342,77,349,Subpartida,52,0,1
118,78,342,103,349,arancelaria,52,0,2
119,54,352,93,362,8708701000,11,0,0
119,329,319,336,326,57.,52,0,0
119,337,319,357,326,Empresa,52,0,1
119,359,319,391,326,transportadora,52,0,2
120,54,352,93,362,8708302900,11,0,0
120,44,342,51,349,59.,52,0,0
120,53,342,77,349,Subpartida,52,0,1
120,78,342,103,349,arancelaria,52,0,2
121,54,352,93,362,8708802010,11,0,0
121,329,319,336,326,57.,52,0,0
121,337,319,357,326,Empresa,52,0,1
121,359,319,391,326,transportadora,52,0,2
122,54,352,93,362,8708802010,11,0,0
122,44,342,51,349,59.,52,0,0
122,53,342,77,349,Subpartida,52,0,1
122,78,342,103,349,arancelaria,52,0,2
123,54,352,93,362,8708409000,11,0,0
123,44,342,51,349,59.,52,0,0
123,53,342,77,349,Subpartida,52,0,1
123,78,342,103,349,arancelaria,52,0,2
124,54,352,93,362,8708302900,11,0,0
124,44,342,51,349,59.,52,0,0
124,53,342,77,349,Subpartida,52,0,1
124,78,342,103,349,arancelaria,52,0,2
125,54,352,93,362,7326909000,11,0,0
125,329,319,336,326,57.,52,0,0
125,337,319,357,326,Empresa,52,0,1
125,359,319,391,326,transportadora,52,0,2
126,54,352,93,362,7326909000,11,0,0
126,44,342,51,349,59.,52,0,0
126,53,342,77,349,Subpartida,52,0,1
126,78,342,103,349,arancelaria,52,0,2
127,54,352,93,362,8708999900,11,0,0
127,44,342,51,349,59.,52,0,0
127,53,342,77,349,Subpartida,52,0,1
127,78,342,103,349,arancelaria,52,0,2
128,54,352,93,362,7320201000,11,0,0
128,44,342,51,349,59.,52,0,0
128,53,342,77,349,Subpartida,52,0,1
128,78,342,103,349,arancelaria,52,0,2
129,54,352,93,362,7320201000,11,0,0
129,329,319,336,326,57.,52,0,0
129,337,319,357,326,Empresa,52,0,1
129,359,319,391,326,transportadora,52,0,2
130,54,352,93,362,7326909000,11,0,0
130,44,342,51,349,59.,52,0,0
130,53,342,77,349,Subpartida,52,0,1
130,78,342,103,349,arancelaria,52,0,2
131,54,352,93,362,7318160000,11,0,0
131,44,342,51,349,59.,52,0,0
131,53,342,77,349,Subpartida,52,0,1
131,78,342,103,349,arancelaria,52,0,2
132,54,352,93,362,7320100000,11,0,0
132,44,342,51,349,59.,52,0,0
132,53,342,77,349,Subpartida,52,0,1
132,78,342,103,349,arancelaria,52,0,2
133,54,352,93,362,8487902000,11,0,0
133,329,319,336,326,57.,52,0,0
133,337,319,357,326,Empresa,52,0,1
133,359,319,391,326,transportadora,52,0,2
135,54,352,93,362,7326909000,11,0,0
135,44,342,51,349,59.,52,0,0
135,53,342,77,349,Subpartida,52,0,1
135,78,342,103,349,arancelaria,52,0,2
136,54,352,93,362,7318159000,11,0,0
136,44,342,51,349,59.,52,0,0
136,53,342,77,349,Subpartida,52,0,1
136,78,342,103,349,arancelaria,52,0,2
138,54,352,93,362,8421230000,11,0,0
138,44,342,51,349,59.,52,0,0
138,53,342,77,349,Subpartida,52,0,1
138,78,342,103,349,arancelaria,52,0,2
140,54,352,93,362,7318159000,11,0,0
140,329,319,336,326,57.,52,0,0
140,337,319,357,326,Empresa,52,0,1
140,359,319,391,326,transportadora,52,0,2
142,54,352,93,362,7318160000,11,0,0
142,44,342,51,349,59.,52,0,0
142,53,342,77,349,Subpartida,52,0,1
142,78,342,103,349,arancelaria,52,0,2
143,54,352,93,362,8407330000,11,0,0
143,329,319,336,326,57.,52,0,0
143,337,319,357,326,Empresa,52,0,1
143,359,319,391,326,transportadora,52,0,2
145,54,352,93,362,7318160000,11,0,0
145,44,342,51,349,59.,52,0,0
145,53,342,77,349,Subpartida,52,0,1
145,78,342,103,349,arancelaria,52,0,2
146,54,352,93,362,7326909000,11,0,0
146,44,342,51,349,59.,52,0,0
146,53,342,77,349,Subpartida,52,0,1
